start_time,end_time,start_minute,end_minute,duration
04:14,04:48,254,288,34
04:31,05:11,271,311,40
04:34,05:21,274,321,47
04:39,05:11,279,311,32
04:47,05:53,287,353,66
04:56,05:33,296,333,37
05:09,06:07,309,367,58
05:10,05:53,310,353,43
05:13,06:39,313,399,86
05:23,05:43,323,343,20
05:27,05:55,327,355,28
05:50,06:44,350,404,54
06:08,07:30,368,450,82
06:09,07:10,369,430,61
06:10,07:12,370,432,62
06:15,07:45,375,465,90
06:17,07:20,377,440,63
06:30,07:03,390,423,33
06:31,07:04,391,424,33
06:35,07:50,395,470,75
06:37,07:14,397,434,37
06:43,07:35,403,455,52
06:45,07:10,405,430,25
06:50,07:27,410,447,37
07:02,07:51,422,471,49
07:02,07:26,422,446,24
07:03,07:40,423,460,37
07:07,08:26,427,506,79
07:19,08:49,439,529,90
07:20,08:01,440,481,41
07:24,08:16,444,496,52
07:31,08:39,451,519,68
07:32,08:30,452,510,58
07:45,08:39,465,519,54
07:48,08:08,468,488,20
08:10,09:29,490,569,79
08:12,09:08,492,548,56
08:18,09:21,498,561,63
08:18,09:08,498,548,50
08:23,09:14,503,554,51
08:24,08:53,504,533,29
08:27,09:57,507,597,90
08:30,09:03,510,543,33
08:31,09:49,511,589,78
08:31,09:53,511,593,82
08:34,09:10,514,550,36
08:37,09:52,517,592,75
08:39,09:39,519,579,60
08:41,09:57,521,597,76
08:44,09:04,524,544,20
08:46,09:21,526,561,35
08:46,09:47,526,587,61
08:48,09:40,528,580,52
08:52,09:53,532,593,61
09:01,10:04,541,604,63
09:09,10:11,549,611,62
09:10,10:28,550,628,78
09:12,10:31,552,631,79
09:15,10:13,555,613,58
09:17,10:12,557,612,55
09:17,10:12,557,612,55
09:30,10:22,570,622,52
09:31,10:01,571,601,30
09:51,10:55,591,655,64
09:57,10:37,597,637,40
09:57,10:17,597,617,20
10:06,11:09,606,669,63
10:11,11:30,611,690,79
10:21,11:34,621,694,73
10:26,11:47,626,707,81
10:50,11:26,650,686,36
10:57,11:57,657,717,60
11:14,12:30,674,750,76
11:18,12:24,678,744,66
11:23,12:42,683,762,79
11:27,12:39,687,759,72
11:33,12:03,693,723,30
11:34,12:14,694,734,40
11:34,12:01,694,721,27
11:46,12:09,706,729,23
11:54,12:23,714,743,29
12:05,13:07,725,787,62
12:16,13:12,736,792,56
12:29,13:45,749,825,76
12:32,13:25,752,805,53
12:39,13:45,759,825,66
12:53,13:37,773,817,44
12:56,13:58,776,838,62
13:31,14:29,811,869,58
13:50,15:06,830,906,76
13:58,14:43,838,883,45
14:05,15:05,845,905,60
14:08,14:28,848,868,20
14:13,15:25,853,925,72
14:39,15:28,879,928,49
15:03,15:56,903,956,53
15:06,15:50,906,950,44
15:18,15:50,918,950,32
15:20,16:18,920,978,58
15:20,15:59,920,959,39
15:25,15:52,925,952,27
15:39,17:07,939,1027,88
15:49,16:45,949,1005,56
15:58,17:17,958,1037,79
16:05,17:31,965,1051,86
16:07,17:08,967,1028,61
16:14,17:06,974,1026,52
16:17,17:01,977,1021,44
16:20,16:40,980,1000,20
16:27,17:25,987,1045,58
16:29,17:40,989,1060,71
16:30,17:45,990,1065,75
16:31,17:37,991,1057,66
16:50,18:20,1010,1100,90
16:56,18:12,1016,1092,76
17:13,17:44,1033,1064,31
17:15,18:18,1035,1098,63
17:23,18:22,1043,1102,59
17:23,18:17,1043,1097,54
17:30,18:26,1050,1106,56
17:32,18:00,1052,1080,28
17:33,19:03,1053,1143,90
17:35,18:51,1055,1131,76
17:39,18:57,1059,1137,78
17:43,18:30,1063,1110,47
17:53,18:42,1073,1122,49
17:55,18:48,1075,1128,53
18:07,19:12,1087,1152,65
18:21,19:45,1101,1185,84
18:26,19:38,1106,1178,72
18:27,19:23,1107,1163,56
18:28,18:54,1108,1134,26
18:31,19:24,1111,1164,53
18:34,19:06,1114,1146,32
18:42,19:14,1122,1154,32
18:53,19:31,1133,1171,38
19:00,20:19,1140,1219,79
19:11,19:50,1151,1190,39
19:16,20:39,1156,1239,83
19:19,19:39,1159,1179,20
19:26,20:01,1166,1201,35
19:29,20:53,1169,1253,84
20:01,21:18,1201,1278,77
20:09,20:29,1209,1229,20
20:13,21:18,1213,1278,65
20:49,21:12,1249,1272,23
20:58,21:43,1258,1303,45
21:20,21:40,1280,1300,20
21:28,22:07,1288,1327,39
21:39,22:22,1299,1342,43
