start_time,end_time,start_minute,end_minute,duration
04:09,04:51,249,291,42
04:24,05:29,264,329,65
04:33,05:07,273,307,34
04:44,05:57,284,357,73
05:18,06:32,318,392,74
05:24,05:44,324,344,20
05:27,05:47,327,347,20
05:30,06:35,330,395,65
05:39,06:44,339,404,65
05:43,06:46,343,406,63
05:51,06:55,351,415,64
06:25,06:56,385,416,31
06:26,07:32,386,452,66
06:41,07:32,401,452,51
06:45,07:48,405,468,63
06:45,07:08,405,428,23
06:54,07:59,414,479,65
06:56,08:01,416,481,65
06:57,08:13,417,493,76
07:00,07:50,420,470,50
07:00,07:49,420,469,49
07:00,07:28,420,448,28
07:05,08:27,425,507,82
07:08,07:42,428,462,34
07:35,08:42,455,522,67
07:40,08:00,460,480,20
07:42,09:11,462,551,89
07:43,09:12,463,552,89
07:43,08:11,463,491,28
07:52,08:33,472,513,41
08:00,09:09,480,549,69
08:02,08:50,482,530,48
08:04,08:51,484,531,47
08:12,09:05,492,545,53
08:16,08:42,496,522,26
08:17,09:16,497,556,59
08:19,09:27,499,567,68
08:20,09:15,500,555,55
08:22,09:05,502,545,43
08:26,09:16,506,556,50
08:26,09:09,506,549,43
08:30,09:27,510,567,57
08:31,09:30,511,570,59
08:32,08:52,512,532,20
08:32,09:28,512,568,56
08:34,09:22,514,562,48
08:41,09:48,521,588,67
08:43,09:03,523,543,20
08:49,10:19,529,619,90
08:53,09:56,533,596,63
08:56,09:58,536,598,62
08:57,10:27,537,627,90
09:02,09:37,542,577,35
09:02,09:40,542,580,38
09:04,09:39,544,579,35
09:05,09:39,545,579,34
09:11,10:07,551,607,56
09:19,10:33,559,633,74
09:36,10:45,576,645,69
09:45,11:15,585,675,90
09:46,10:16,586,616,30
09:47,10:23,587,623,36
09:51,11:08,591,668,77
09:55,10:52,595,652,57
09:56,10:53,596,653,57
09:57,11:12,597,672,75
09:57,10:52,597,652,55
10:10,10:42,610,642,32
10:18,11:48,618,708,90
10:20,11:37,620,697,77
10:21,11:31,621,691,70
10:38,11:16,638,676,38
10:41,11:37,641,697,56
10:54,11:14,654,674,20
10:55,11:38,655,698,43
10:57,12:09,657,729,72
11:03,11:38,663,698,35
11:07,11:47,667,707,40
11:09,11:44,669,704,35
11:23,12:09,683,729,46
11:24,12:19,684,739,55
11:58,13:10,718,790,72
12:23,13:20,743,800,57
12:26,13:17,746,797,51
12:35,12:55,755,775,20
12:40,13:51,760,831,71
12:41,13:07,761,787,26
12:46,13:22,766,802,36
12:48,13:50,768,830,62
12:56,13:42,776,822,46
12:58,13:47,778,827,49
13:27,14:57,807,897,90
13:31,14:34,811,874,63
13:33,14:15,813,855,42
14:05,14:54,845,894,49
14:07,15:02,847,902,55
14:08,15:20,848,920,72
14:16,15:20,856,920,64
14:24,15:34,864,934,70
14:26,15:34,866,934,68
14:37,15:26,877,926,49
14:42,15:37,882,937,55
14:47,16:05,887,965,78
14:56,16:01,896,961,65
15:00,16:26,900,986,86
15:11,15:59,911,959,48
15:15,16:00,915,960,45
15:16,16:18,916,978,62
15:25,16:21,925,981,56
15:34,17:04,934,1024,90
15:35,16:44,935,1004,69
15:36,16:20,936,980,44
15:36,16:41,936,1001,65
15:37,16:58,937,1018,81
15:49,16:52,949,1012,63
15:51,16:52,951,1012,61
15:52,16:38,952,998,46
15:53,16:18,953,978,25
16:17,16:44,977,1004,27
16:18,17:19,978,1039,61
16:22,16:45,982,1005,23
16:23,17:17,983,1037,54
16:28,17:33,988,1053,65
16:30,17:43,990,1063,73
16:32,17:31,992,1051,59
16:34,17:10,994,1030,36
16:38,17:36,998,1056,58
16:40,17:28,1000,1048,48
16:40,17:57,1000,1077,77
16:48,17:29,1008,1049,41
16:53,17:57,1013,1077,64
16:54,17:57,1014,1077,63
17:02,18:08,1022,1088,66
17:09,17:51,1029,1071,42
17:09,17:55,1029,1075,46
17:10,18:29,1030,1109,79
17:18,18:08,1038,1088,50
17:25,18:14,1045,1094,49
17:28,18:12,1048,1092,44
17:30,18:48,1050,1128,78
17:34,18:28,1054,1108,54
17:43,18:39,1063,1119,56
17:49,18:33,1069,1113,44
17:54,18:46,1074,1126,52
