start_time,end_time,start_minute,end_minute,duration
04:07,05:15,247,315,68
04:10,05:40,250,340,90
04:45,05:10,285,310,25
04:55,05:35,295,335,40
05:06,05:37,306,337,31
05:10,05:54,310,354,44
05:52,06:44,352,404,52
06:14,06:50,374,410,36
06:21,07:34,381,454,73
06:24,07:07,384,427,43
06:29,07:02,389,422,33
06:41,07:37,401,457,56
06:42,08:12,402,492,90
06:43,07:31,403,451,48
06:45,07:30,405,450,45
06:45,07:39,405,459,54
06:50,08:14,410,494,84
06:50,07:34,410,454,44
07:04,07:28,424,448,24
07:08,07:28,428,448,20
07:09,07:42,429,462,33
07:10,07:46,430,466,36
07:11,08:22,431,502,71
07:13,08:21,433,501,68
07:17,07:37,437,457,20
07:17,07:37,437,457,20
07:19,08:06,439,486,47
07:20,08:39,440,519,79
07:22,07:56,442,476,34
07:23,08:19,443,499,56
07:27,08:49,447,529,82
07:30,08:23,450,503,53
07:32,08:36,452,516,64
07:33,08:17,453,497,44
07:37,08:48,457,528,71
07:40,09:04,460,544,84
07:41,09:11,461,551,90
07:41,08:45,461,525,64
07:46,08:18,466,498,32
07:48,09:15,468,555,87
07:55,08:59,475,539,64
07:57,08:46,477,526,49
08:01,08:51,481,531,50
08:05,09:03,485,543,58
08:05,08:50,485,530,45
08:07,08:37,487,517,30
08:13,09:27,493,567,74
08:16,08:36,496,516,20
08:19,09:07,499,547,48
08:19,09:28,499,568,69
08:21,08:52,501,532,31
08:26,09:36,506,576,70
08:27,09:10,507,550,43
08:30,09:49,510,589,79
08:31,09:41,511,581,70
08:33,09:10,513,550,37
08:34,09:33,514,573,59
08:35,09:49,515,589,74
08:37,09:20,517,560,43
08:39,09:35,519,575,56
08:48,09:08,528,548,20
08:48,10:07,528,607,79
08:50,09:59,530,599,69
08:54,09:14,534,554,20
09:04,10:19,544,619,75
09:05,09:59,545,599,54
09:09,09:49,549,589,40
09:15,10:43,555,643,88
09:16,10:14,556,614,58
09:17,09:37,557,577,20
09:19,09:48,559,588,29
09:21,09:58,561,598,37
09:22,10:46,562,646,84
09:25,10:27,565,627,62
09:29,10:14,569,614,45
09:29,10:12,569,612,43
09:29,10:20,569,620,51
09:29,10:28,569,628,59
09:32,10:07,572,607,35
09:35,10:43,575,643,68
09:37,09:57,577,597,20
09:42,10:38,582,638,56
09:44,10:23,584,623,39
09:50,10:11,590,611,21
09:52,10:42,592,642,50
09:54,10:57,594,657,63
09:56,11:03,596,663,67
10:08,11:16,608,676,68
10:09,10:41,609,641,32
10:11,11:17,611,677,66
10:18,11:25,618,685,67
10:20,11:16,620,676,56
10:28,11:04,628,664,36
10:47,11:48,647,708,61
11:00,11:55,660,715,55
11:05,12:16,665,736,71
11:16,12:22,676,742,66
11:19,12:49,679,769,90
11:21,12:05,681,725,44
11:38,13:08,698,788,90
11:41,12:33,701,753,52
11:45,12:28,705,748,43
11:51,12:38,711,758,47
11:52,12:28,712,748,36
12:04,12:56,724,776,52
12:06,13:03,726,783,57
12:16,13:12,736,792,56
12:23,12:54,743,774,31
12:38,13:35,758,815,57
12:40,13:06,760,786,26
12:44,13:19,764,799,35
12:58,13:52,778,832,54
13:01,13:40,781,820,39
13:08,13:53,788,833,45
13:12,13:37,792,817,25
13:33,13:58,813,838,25
13:34,14:38,814,878,64
13:36,14:04,816,844,28
13:40,14:48,820,888,68
13:45,14:18,825,858,33
14:24,14:55,864,895,31
14:27,15:23,867,923,56
14:27,15:07,867,907,40
14:30,15:22,870,922,52
14:44,15:04,884,904,20
14:51,15:11,891,911,20
15:07,16:05,907,965,58
15:11,15:53,911,953,42
15:14,16:12,914,972,58
15:19,16:18,919,978,59
15:23,16:48,923,1008,85
15:26,16:12,926,972,46
15:30,16:35,930,995,65
15:32,16:21,932,981,49
15:42,16:36,942,996,54
15:45,16:18,945,978,33
15:55,16:15,955,975,20
15:58,16:28,958,988,30
16:04,16:52,964,1012,48
16:10,16:49,970,1009,39
16:14,17:06,974,1026,52
16:22,17:26,982,1046,64
16:28,17:58,988,1078,90
16:29,17:28,989,1048,59
16:34,17:27,994,1047,53
16:35,18:05,995,1085,90
16:37,17:39,997,1059,62
16:45,17:05,1005,1025,20
16:49,17:46,1009,1066,57
17:06,18:08,1026,1088,62
17:08,18:21,1028,1101,73
17:10,17:45,1030,1065,35
17:13,17:46,1033,1066,33
17:21,17:47,1041,1067,26
17:23,18:47,1043,1127,84
17:28,18:15,1048,1095,47
17:30,18:22,1050,1102,52
17:34,18:35,1054,1115,61
17:34,18:21,1054,1101,47
17:34,18:35,1054,1115,61
17:36,18:33,1056,1113,57
17:40,18:35,1060,1115,55
17:42,18:36,1062,1116,54
17:42,18:35,1062,1115,53
17:43,18:54,1063,1134,71
17:46,19:16,1066,1156,90
17:47,18:11,1067,1091,24
17:48,19:16,1068,1156,88
17:48,18:19,1068,1099,31
17:58,19:00,1078,1140,62
18:04,19:05,1084,1145,61
18:08,18:48,1088,1128,40
18:19,18:39,1099,1119,20
18:32,19:34,1112,1174,62
18:37,19:30,1117,1170,53
18:44,19:54,1124,1194,70
18:44,19:36,1124,1176,52
18:57,19:52,1137,1192,55
19:04,19:43,1144,1183,39
19:12,19:35,1152,1175,23
19:16,20:12,1156,1212,56
19:18,20:20,1158,1220,62
19:18,20:30,1158,1230,72
19:19,19:58,1159,1198,39
19:22,20:26,1162,1226,64
19:24,20:02,1164,1202,38
19:26,20:14,1166,1214,48
19:28,20:09,1168,1209,41
19:33,20:07,1173,1207,34
19:35,20:40,1175,1240,65
19:35,20:45,1175,1245,70
19:49,20:42,1189,1242,53
19:57,21:24,1197,1284,87
20:02,21:21,1202,1281,79
20:09,21:11,1209,1271,62
20:35,21:43,1235,1303,68
21:04,21:37,1264,1297,33
21:09,21:55,1269,1315,46
21:15,21:49,1275,1309,34
21:18,22:14,1278,1334,56
